,Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
267,Galium nuttallii,Common Names: San Diego Bedstraw,Perennial herb,5 ft tall,,"5.8"" - 66.0""","0.14"" - 3.05""","Full Sun,  part shade",,," 41.3"" - 57.3"""," 60.7"" - 81.0""",,"0.69"" - 32.43""","13"" - 6013""",,Red,,260,https://static.inaturalist.org/photos/317237/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Galium-nuttallii-(Climbing-Bedstraw)?srchcr=sc61b191ec81c14"
268,Calochortus plummerae,,Perennial herb,,,"4.4"" - 44.2""","0.14"" - 2.34""","Full Sun,  Part Shade",,," 38.2"" - 61.4"""," 61.4"" - 88.8""",,"1.94"" - 42.82""","47"" - 7349""",,"Pink,  Yellow,  White,  Lavender",,825,https://inaturalist-open-data.s3.amazonaws.com/photos/56982/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Calochortus-plummerae-(Plummer\'s-Mariposa-Lily)?srchcr=sc61b191ec81c14"
269,Calochortus catalinae,Common Names: Santa Catalina Mariposa Lily,Perennial herb,2 ft tall,,"5.3"" - 123.4""","0.14"" - 3.63""",Full Sun,,," 34.3"" - 57.3"""," 56.0"" - 84.4""",,"0.93"" - 36.40""","-131"" - 6032""",,"White,  Pink,  Purple,  Red",,1067,https://static.inaturalist.org/photos/177604/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Calochortus-catalinae-(Catalina-Mariposa-Lily)?srchcr=sc61b191ec81c14"
270,Delphinium parryi,Common Names: Parry's Larkspur,Perennial herb,2 - 4 ft tall,,"5.6"" - 49.7""","0.13"" - 3.09""","Full Sun,  Part Shade",,," 27.0"" - 57.7"""," 52.8"" - 86.2""",,"0.41"" - 37.09""","-3814"" - 10752""","Hummingbird Gardens, Bee Gardens","Blue,  White,  Purple",Moderately Easy,886,https://static.inaturalist.org/photos/33011489/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Delphinium-parryi-(San-Bernardino-Larkspur)?srchcr=sc61b191ec81c14"
271,Lomatium lucidum,Common Names: Shiny Biscuitroot,Perennial herb,3.3 ft tall,,"9.7"" - 33.5""","0.15"" - 2.58""",,,," 39.9"" - 56.5"""," 66.2"" - 81.0""",,"0.98"" - 29.50""","13"" - 6112""",Butterfly Gardens,Yellow,,319,https://inaturalist-open-data.s3.amazonaws.com/photos/1574966/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lomatium-lucidum-(Shiny-Lomatium)?srchcr=sc61b191ec81c14"
272,Dudleya blochmaniae,Common Names: Blochman's Liveforever,"Perennial herb, Succulent",3.6 - 8.4 in tall,,"9.4"" - 34.0""","0.13"" - 1.40""",Full Sun,,," 39.9"" - 55.8"""," 61.6"" - 79.5""",,"0.80"" - 18.81""","-14"" - 1776""","Hummingbird Gardens, Bird Gardens","White,  Green,  Red,  Purple,  Brown",,165,https://inaturalist-open-data.s3.amazonaws.com/photos/1900410/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Dudleya-blochmaniae-(Blochman\'s-Dudleya)?srchcr=sc61b191ec81c14"
273,Hydrocotyle umbellata,"Common Names: Manyflower Marsh Pennywort, Manyflower Marshpennywort",Perennial herb,,,"5.8"" - 42.4""","0.18"" - 2.34""",Full Sun,,," 26.6"" - 55.2"""," 56.0"" - 83.7""",,"0.92"" - 34.50""","20"" - 7699""",,,,2058,https://inaturalist-open-data.s3.amazonaws.com/photos/53502259/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Hydrocotyle-umbellata-(Marsh-Pennywort)?srchcr=sc61b191ec81c14"
274,Pteridium aquilinum var. pubescens,Common Names: Bracken Fern,Fern,3.3 ft tall,"['USDA Zone 3a:  to -39.9 °C (-40 °F)', 'USDA Zone 3b: to -37.2 °C (-35 °F)', 'USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","8.2"" - 154.0""","0.15"" - 5.84""","Full Sun,  Part Shade",,," 20.3"" - 55.9"""," 45.1"" - 80.5""",,"0.01"" - 29.06""","-23"" - 10727""",,,,43162,https://inaturalist-open-data.s3.amazonaws.com/photos/14755398/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Pteridium-aquilinum-var.-pubescens-(Hairy-Brackenfern)?srchcr=sc61b191ec81c14"
275,Poa secunda ssp. secunda,,Grasses,3.3 ft tall,,"3.3"" - 156.3""","0.13"" - 5.90""",Part Shade,,," 16.4"" - 58.3"""," 37.4"" - 88.1""",,"0.02"" - 38.55""","-13"" - 14460""",,Brown,,611,https://inaturalist-open-data.s3.amazonaws.com/photos/11822/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Poa-secunda-ssp.-secunda-(Pine-Bluegrass)?srchcr=sc61b191ec81c14"
276,Equisetum telmateia ssp. braunii,Botanical Names: Equisetum telmateia var. braunii,Grasses,,,"7.0"" - 121.2""","0.17"" - 3.59""",Shade,,," 27.9"" - 57.1"""," 57.6"" - 79.6""",,"0.01"" - 26.19""","-3"" - 7950""","Bogs and Ponds, Bird Gardens",Brown,,11275,https://inaturalist-open-data.s3.amazonaws.com/photos/61787663/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Equisetum-telmateia-ssp.-braunii-(Giant-Horsetail)?srchcr=sc61b191ec81c14"
277,Stephanomeria cichoriacea,"Common Names: Chicoryleaf Wirelettuce, Silver Rock-lettuce",Perennial herb,3.3 - 5 ft tall,,"7.4"" - 52.2""","0.15"" - 1.94""",Full Sun,,," 36.3"" - 55.9"""," 56.7"" - 78.7""",,"0.59"" - 25.60""","13"" - 8728""","Butterfly Gardens, Bee Gardens",,,438,https://inaturalist-open-data.s3.amazonaws.com/photos/60594/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Stephanomeria-cichoriacea-(Chicory-Leaved-Stephanomeria)?srchcr=sc61b191ec81c14"
278,Stachys rigida var. rigida,"Botanical Names: Stachys ajugoides var. rigidaCommon Names: Rigid Hedge-nettle, Rough Hedgenettle",Perennial herb,2 - 3.3 ft tall,,"4.8"" - 154.0""","0.16"" - 5.80""",Full Sun,,," 28.0"" - 58.8"""," 47.3"" - 87.5""",,"0.01"" - 38.31""","-23"" - 8910""","Hummingbird Gardens, Bird Gardens, Bee Gardens",,,1783,https://inaturalist-open-data.s3.amazonaws.com/photos/81898704/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Stachys-rigida-var.-rigida-(Rigid-Hedge-Nettle)?srchcr=sc61b191ec81c14"
279,Lupinus excubitus var. hallii,,Shrub,1.6 - 7 ft tall,"['USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","3.5"" - 38.7""","0.17"" - 3.08""",Full Sun,,," 33.4"" - 59.4"""," 60.8"" - 88.1""",,"1.04"" - 39.05""","4"" - 8077""",Bee Gardens,"Blue,  Lavender,  Purple",Moderately Easy,1666,https://static.inaturalist.org/photos/17837890/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lupinus-excubitus-var.-hallii-(Hall\'s-Bush-Lupine)?srchcr=sc61b191ec81c14"
280,Sanicula crassicaulis,"Common Names: Gamble Weed, Pacific Blacksnakeroot",Perennial herb,3.3 - 6.6 ft tall,,"10.0"" - 120.5""","0.14"" - 3.43""","Shade, Part Shade",,," 37.2"" - 56.6"""," 57.7"" - 80.5""",,"0.01"" - 28.95""","-251"" - 5534""",,Yellow,,7119,https://inaturalist-open-data.s3.amazonaws.com/photos/5283/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Sanicula-crassicaulis-(Pacific-Sanicle)?srchcr=sc61b191ec81c14"
281,Horkelia cuneata var. cuneata,Botanical Names: Horkelia cuneata ssp. cuneataCommon Names: Wedgeleaf Horkelia,Perennial herb,0.7 - 2.3 ft tall,,"10.7"" - 49.8""","0.18"" - 0.52""",Full Sun,,," 44.0"" - 55.7"""," 58.8"" - 77.6""",,"0.41"" - 24.68""","2"" - 2818""","Groundcovers, Bee Gardens",White,Moderately Easy,465,https://static.inaturalist.org/photos/209362/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Horkelia-cuneata-var.-cuneata-(Coast-Horkelia)?srchcr=sc61b191ec81c14"
282,Triglochin concinna,Common Names: Slender Arrowgrass,Perennial herb,0.7 - 2.5 ft tall,,"3.2"" - 50.0""","0.17"" - 2.16""",Full Sun,,," 23.2"" - 59.4"""," 47.6"" - 87.8""",,"0.46"" - 43.43""","0"" - 9786""",,"Green,  Purple",,97,https://static.inaturalist.org/photos/283557/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Triglochin-concinna-(Utah-Arrowgrass)?srchcr=sc61b191ec81c14"
283,Isocoma menziesii var. sedoides,"Common Names: Prostrate Coastal Goldenbush, White-flowered Dune Goldenbush",Shrub,7 ft tall,,"9.8"" - 28.9""","0.14"" - 0.48""",Full Sun,,," 48.5"" - 56.4"""," 60.0"" - 76.4""",,"0.88"" - 21.22""","-7"" - 1743""","Groundcovers, Bee Gardens",Yellow,Moderately Easy,6990,https://inaturalist-open-data.s3.amazonaws.com/photos/53759750/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Isocoma-menziesii-var.-sedoides-(Menzies\'-Goldenbush)?srchcr=sc61b191ec81c14"
284,Epilobium ciliatum ssp. ciliatum,Common Names: Northern Willow-herb,Perennial herb,6 ft tall,,"4.1"" - 158.0""","0.14"" - 5.78""",Full Sun,,," 24.2"" - 56.5"""," 46.3"" - 87.2""",,"0.01"" - 38.66""","-75"" - 11501""","Bird Gardens, Hummingbird Gardens","Pink,  White,  Purple",,9848,https://inaturalist-open-data.s3.amazonaws.com/photos/1235663/small.,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Epilobium-ciliatum-ssp.-ciliatum-(Fringed-Willowherb)?srchcr=sc61b191ec81c14"
285,Spergularia macrotheca,Common Names: Sticky Sandspurry,Perennial herb,,,"6.2"" - 65.0""","0.13"" - 1.83""",Full Sun,,," 23.9"" - 57.5"""," 46.5"" - 80.9""",,"0.01"" - 29.77""","-1512"" - 10742""",,"Pink,  White,  Lavender,  Red,  Brown",,846,https://inaturalist-open-data.s3.amazonaws.com/photos/15782/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Spergularia-macrotheca-(Large-Flowered-Sand-Spurry)?srchcr=sc61b191ec81c14"
286,Lomatium dasycarpum ssp. dasycarpum,"Common Names: Woolly-fruited Lomatium, Woollyfruit Desertparsley",Perennial herb,1.6 ft tall,,"8.8"" - 81.8""","0.14"" - 2.96""",Full Sun,,," 37.0"" - 55.1"""," 54.3"" - 79.9""",,"0.20"" - 26.85""","7"" - 6775""",Butterfly Gardens,,,1847,https://static.inaturalist.org/photos/112753585/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lomatium-dasycarpum-ssp.-dasycarpum-(Woolly-Fruited-Lomatium)?srchcr=sc61b191ec81c14"
287,Stephanomeria virgata,"Common Names: Rod Wirelettuce, Tall Stephanomeria",Annual herb,1.9 - 11.8 in tall,,"6.4"" - 67.9""","0.15"" - 2.94""",Full Sun,,," 25.4"" - 56.9"""," 55.2"" - 83.7""",,"0.01"" - 35.21""","1"" - 8798""",,,,973,https://inaturalist-open-data.s3.amazonaws.com/photos/11679/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Stephanomeria-virgata-(Virgate-Stephanomeria)?srchcr=sc61b191ec81c14"
288,Amorpha californica var. californica,,Shrub,,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","6.0"" - 68.0""","0.15"" - 2.79""","Full Sun,  Part Shade",,," 32.5"" - 58.2"""," 59.2"" - 86.9""",,"0.43"" - 37.48""","26"" - 7643""",,Purple,,598,https://inaturalist-open-data.s3.amazonaws.com/photos/18747/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Amorpha-californica-var.-californica-(California-False-Indigo)?srchcr=sc61b191ec81c14"
289,Allium peninsulare,Common Names: Peninsula Onion,Perennial herb,,,"6.7"" - 70.0""","0.14"" - 2.45""",Full Sun,,," 33.5"" - 57.2"""," 61.0"" - 81.0""",,"0.44"" - 29.91""","19"" - 7419""",,"Pink,  Purple,  Red",,389,https://inaturalist-open-data.s3.amazonaws.com/photos/16799/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Allium-peninsulare-(Mexicali-Onion)?srchcr=sc61b191ec81c14"
290,Bromus carinatus var. carinatus,Common Names: California Brome,Grasses,5 ft tall,,"2.7"" - 129.6""","0.15"" - 3.95""","Full Sun,  Part Shade",,," 10.8"" - 58.7"""," 34.1"" - 88.4""",,"0.01"" - 39.29""","-113"" - 14090""",,Brown,,1002,https://inaturalist-open-data.s3.amazonaws.com/photos/11796/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Bromus-carinatus-var.-carinatus-(Mountain-Brome)?srchcr=sc61b191ec81c14"
291,Castilleja affinis ssp. affinis,Botanical Names: Castilleja inflataCommon Names: Wight's Indian Paint-brush,"Perennial herb, Annual herb",2 ft tall,,"6.5"" - 113.4""","0.14"" - 4.22""",Full Sun,,," 33.8"" - 56.0"""," 57.9"" - 80.9""",,"0.02"" - 29.36""","-59"" - 9540""",,Orange,,4227,https://static.inaturalist.org/photos/85180322/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Castilleja-affinis-ssp.-affinis-(Coast-Indian-Paintbrush)?srchcr=sc61b191ec81c14"
292,Pentagramma triangularis ssp. triangularis,"Botanical Names: Pentagramma triangularis ssp. semipallidaCommon Names: Goldback Fern, Western Goldfern",Fern,,,"6.5"" - 83.9""","0.13"" - 3.07""","Part Shade,  Full Shade",,," 27.1"" - 57.4"""," 44.6"" - 80.8""",,"0.01"" - 30.40""","-293"" - 9001""",,,,6223,https://inaturalist-open-data.s3.amazonaws.com/photos/302400/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Pentagramma-triangularis-ssp.-triangularis-(Gold-Back-Fern)?srchcr=sc61b191ec81c14"
293,Phacelia cicutaria var. hispida,,Annual herb,0.6 - 2 ft tall,,"3.5"" - 43.7""","0.14"" - 2.42""","Full Sun,  Part Shade",,," 31.7"" - 58.8"""," 60.5"" - 87.8""",,"0.84"" - 38.88""","-32"" - 6838""","Butterfly Gardens, Bee Gardens","White,  Lavender",,3598,https://inaturalist-open-data.s3.amazonaws.com/photos/31426/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Phacelia-cicutaria-var.-hispida-(Caterpillar-Phacelia)?srchcr=sc61b191ec81c14"
294,Claytonia perfoliata ssp. mexicana,,Annual herb,1.3 ft tall,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)']","5.8"" - 57.0""","0.15"" - 3.00""",Shade,,," 30.6"" - 57.4"""," 60.2"" - 80.2""",,"0.01"" - 29.39""","0"" - 7863""",,,,15741,https://inaturalist-open-data.s3.amazonaws.com/photos/12032138/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Claytonia-perfoliata-ssp.-mexicana-(Southern-Miner\'s-Lettuce)?srchcr=sc61b191ec81c14"
295,Mucronea californica,,Annual herb,0.1 - 1.6 ft tall,,"5.1"" - 34.9""","0.18"" - 2.53""",Full Sun,,," 34.6"" - 57.7"""," 62.6"" - 80.2""",,"0.74"" - 34.61""","-3814"" - 6013""",,,,55,https://static.inaturalist.org/photos/12552099/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Mucronea-californica-(California-Spineflower)?srchcr=sc61b191ec81c14"
296,Delphinium parryi ssp. parryi,Common Names: San Bernardino Larkspur,Perennial herb,0.5 - 3.5 ft tall.25 ft wide,,"5.6"" - 49.7""","0.13"" - 3.07""","Full Sun, Part Shade",,," 34.9"" - 57.6"""," 60.7"" - 86.2""",,"0.41"" - 37.09""","0"" - 7115""","Hummingbird Gardens, Bee Gardens","Blue,  Purple",Moderately Easy,886,https://static.inaturalist.org/photos/33011489/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Delphinium-parryi-ssp.-parryi-(Parry\'s-Larkspur)?srchcr=sc61b191ec81c14"
297,Tauschia arguta,Common Names: Southern Umbrellawort,Perennial herb,1 - 2.3 ft tall,,"4.9"" - 47.1""","0.15"" - 2.95""","Full Sun,  Part Shade",,," 33.4"" - 58.3"""," 61.0"" - 87.0""",,"1.21"" - 37.82""","30"" - 7419""",,Yellow,,536,https://inaturalist-open-data.s3.amazonaws.com/photos/663884/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Tauschia-arguta-(Southern-Tauschia)?srchcr=sc61b191ec81c14"
298,Uropappus lindleyi,"Common Names: Silver Puffs, Silverpuffs",Annual herb,2.3 ft tall,,"3.5"" - 73.6""","0.14"" - 2.97""",Full Sun,,," 32.3"" - 59.8"""," 59.1"" - 87.2""",,"0.47"" - 39.91""","0"" - 8079""",,,,3025,https://inaturalist-open-data.s3.amazonaws.com/photos/7015916/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Uropappus-lindleyi-(Uropappus)?srchcr=sc61b191ec81c14"
299,Malacothamnus fasciculatus var. fasciculatus,Common Names: Mendocino Bushmallow,Shrub,3.3 - 2.3 ft tall,,"9.7"" - 45.3""","0.18"" - 2.83""","Full Sun,  Part Shade",,," 38.1"" - 56.0"""," 59.5"" - 80.8""",,"0.82"" - 29.74""","24"" - 8715""",Hummingbird Gardens,Pink,,4449,https://static.inaturalist.org/photos/19155029/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Malacothamnus-fasciculatus-var.-fasciculatus-(Chaparral-Bush-Mallow)?srchcr=sc61b191ec81c14"
300,Descurainia pinnata,"Common Names: Green Tansymustard, Menzies' Tansymustard, Pinnate Tansy Mustard, Pinnate Tansymustard",Annual herb,,,"2.7"" - 120.8""","0.14"" - 4.10""",,,," 24.2"" - 62.2"""," 46.3"" - 89.1""",,"0.59"" - 42.79""","-136"" - 10329""",Butterfly Gardens,Yellow,,2030,https://inaturalist-open-data.s3.amazonaws.com/photos/3038283/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Descurainia-pinnata-(Western-Tansymustard)?srchcr=sc61b191ec81c14"
301,Galium aparine,"Common Names: Catchweed Bedstraw, Cleaverwort, Clivers, Goose Grass, Goosegrass, Scarthgrass, Stickywilly",Annual herb,10.8 in tall,,"6.7"" - 117.5""","0.14"" - 3.95""",,,Prefers loamy or clay soils.  Grows poorly in sandy soils.," 10.8"" - 57.4"""," 34.1"" - 81.0""",,"0.21"" - 30.99""","-22"" - 14090""",,Green,,37995,https://static.inaturalist.org/photos/79984095/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Galium-aparine-(Common-Bedstrawm-Cleavers)?srchcr=sc61b191eec0023"
302,Gnaphalium palustre,"Common Names: Lowland Cudweed, Marsh Everlasting",Annual herb,11.8 in tall,,"4.4"" - 151.6""","0.14"" - 5.67""",,,," 19.1"" - 60.0"""," 42.0"" - 87.6""",,"0.04"" - 40.42""","-4"" - 12721""",,Brown,,627,https://inaturalist-open-data.s3.amazonaws.com/photos/8082065/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Gnaphalium-palustre-(Western-Marsh-Cudweed)?srchcr=sc61b191eec0023"
303,Lasthenia gracilis,"Common Names: California Goldfields, Needle Goldfields, Valley Goldfields",Annual herb,,,"3.2"" - 94.6""","0.14"" - 2.65""",,,," 24.6"" - 59.5"""," 45.5"" - 88.0""",,"0.47"" - 38.85""","-130"" - 11310""",,Yellow,,1738,https://inaturalist-open-data.s3.amazonaws.com/photos/266552/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Lasthenia-gracilis-(Common-Goldfields)?srchcr=sc61b191eec0023"
304,Stephanomeria exigua,Common Names: Wire Lettuce,Annual herb,,,"3.0"" - 60.0""","0.14"" - 2.90""",,,," 25.3"" - 60.6"""," 49.6"" - 88.8""",,"0.39"" - 40.82""","-82"" - 9530""",,,,1355,https://inaturalist-open-data.s3.amazonaws.com/photos/47337098/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Stephanomeria-exigua-(Small-Wirelettuce)?srchcr=sc61b191eec0023"
305,Galium angustifolium ssp. angustifolium,,Perennial herb,,,"4.2"" - 50.6""","0.13"" - 2.84""",,,," 30.5"" - 58.3"""," 58.0"" - 87.0""",,"0.91"" - 37.81""","1"" - 8482""",,,,1962,https://inaturalist-open-data.s3.amazonaws.com/photos/2163365/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Galium-angustifolium-ssp.-angustifolium-(Narrowleaf-Bedstraw)?srchcr=sc61b191eec0023"
306,Stachys rigida,Common Names: Rigid Hedgenettle,Perennial herb,2 - 3.3 ft tall,,"4.8"" - 158.0""","0.16"" - 5.80""",,,," 28.0"" - 58.8"""," 47.3"" - 87.5""",,"0.01"" - 38.31""","-23"" - 8910""","Hummingbird Gardens, Bird Gardens, Bee Gardens",,,1783,https://inaturalist-open-data.s3.amazonaws.com/photos/81898704/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Stachys-rigida-(Rough-Hedgenettle)?srchcr=sc61b191eec0023"
307,Cuscuta californica,Common Names: California Dodder,"Vine, Annual herb",,,"3.0"" - 115.6""","0.14"" - 3.95""",,,," 21.3"" - 61.4"""," 49.1"" - 88.8""",,"0.29"" - 42.79""","-15"" - 11012""",,White,,2540,https://inaturalist-open-data.s3.amazonaws.com/photos/6916348/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Cuscuta-californica-(Chaparral-Dodder)?srchcr=sc61b191eec0023"
308,Cryptantha clevelandii,,Annual herb,0.33 - 2 ft tall,,"7.0"" - 52.2""","0.14"" - 1.17""",,,," 36.1"" - 57.1"""," 58.4"" - 80.2""",,"0.41"" - 27.85""","-17"" - 5993""",,White,,95,https://inaturalist-open-data.s3.amazonaws.com/photos/6409420/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Cryptantha-clevelandii-(Cleveland\'s-Cryptantha)?srchcr=sc61b191eec0023"
309,Chaenactis glabriuscula var. glabriuscula,Common Names: Common Yellow Chaenactis,Annual herb,,,"4.8"" - 66.5""","0.13"" - 2.95""",,,," 24.6"" - 58.9"""," 45.5"" - 87.5""",,"0.73"" - 38.44""","2"" - 11310""",,,,1648,https://inaturalist-open-data.s3.amazonaws.com/photos/13336/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Chaenactis-glabriuscula-var.-glabriuscula-(Yellow-Pincushion)?srchcr=sc61b191eec0023"
310,Erigeron foliosus var. foliosus,Common Names: Thread-stemmed Fleabane,"Perennial Herb, Shrub",,,"5.6"" - 104.0""","0.14"" - 3.55""",,,," 24.3"" - 57.6"""," 49.7"" - 86.2""",,"0.68"" - 37.09""","7"" - 9879""",Bee Gardens,"White,  Lavender,  Yellow",,2003,https://inaturalist-open-data.s3.amazonaws.com/photos/16760/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Erigeron-foliosus-var.-foliosus-(Leafy-Fleabane)?srchcr=sc61b191eec0023"
311,Plagiobothrys canescens,Common Names: Grey Popcornflower,Annual herb,0.33 - 2 ft tall,,"4.0"" - 68.1""","0.13"" - 2.98""",,,," 35.3"" - 57.0"""," 58.8"" - 81.6""",,"0.51"" - 34.08""","10"" - 5917""",,"White,  Purple",,93,https://inaturalist-open-data.s3.amazonaws.com/photos/66854056/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Plagiobothrys-canescens-(Valley-Popcornflower)?srchcr=sc61b191eec0023"
312,Cirsium occidentale var. californicum,"Common Names: Bigelow Thistle, Cobwebby Thistle",Perennial herb,,,"4.0"" - 80.7""","0.14"" - 3.14""",,,," 29.5"" - 57.2"""," 52.0"" - 84.5""",,"0.74"" - 36.04""","-30"" - 8771""",Butterfly Gardens,"Pink,  Purple",,5449,https://inaturalist-open-data.s3.amazonaws.com/photos/19374571/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Cirsium-occidentale-var.-californicum-(California-Thistle)?srchcr=sc61b191eec0023"
313,Pellaea mucronata var. mucronata,,Fern,,,"4.6"" - 76.4""","0.14"" - 3.08""",,,," 26.2"" - 58.8"""," 51.6"" - 87.5""",,"0.43"" - 38.31""","20"" - 8232""",,,,2480,https://inaturalist-open-data.s3.amazonaws.com/photos/12780/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Pellaea-mucronata-var.-mucronata-(Bird\'s-foot-Fern)?srchcr=sc61b191eec0023"
314,Isocoma menziesii var. vernonioides,,Shrub,,,"7.2"" - 46.5""","0.14"" - 1.65""",,,," 37.7"" - 57.3"""," 61.2"" - 83.4""",,"0.68"" - 34.96""","-30"" - 5181""",Bee Gardens,Yellow,,6990,https://inaturalist-open-data.s3.amazonaws.com/photos/53759750/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Isocoma-menziesii-var.-vernonioides-(Green-leaved-Dune-Goldenbush)?srchcr=sc61b191eec0023"
315,Urtica dioica,"Common Names: California Nettle, Slender Nettle, Stinging Nettle, Tall Nettle",Perennial herb,,,"5.6"" - 76.8""","0.13"" - 4.22""",,,," 22.9"" - 56.3"""," 46.3"" - 80.9""",,"0.05"" - 29.78""","-1"" - 10600""",Butterfly Gardens,,,57458,https://inaturalist-open-data.s3.amazonaws.com/photos/31199444/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Urtica-dioica-(Common-Nettle)?srchcr=sc61b191eec0023"
