Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
Sanicula crassicaulis,"Common Names: Gamble Weed, Pacific Blacksnakeroot",Perennial herb,3.3 - 6.6 ft tall,,"10.0"" - 120.5""","0.14"" - 3.43""","Shade, Part Shade",,," 37.2"" - 56.6"""," 57.7"" - 80.5""",,"0.01"" - 28.95""","-251"" - 5534""",,Yellow,,7082,https://inaturalist-open-data.s3.amazonaws.com/photos/5283/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Sanicula-crassicaulis-(Pacific-Sanicle)?srchcr=sc61ab02a7440fe"
Centromadia parryi,Botanical Names: Hemizonia parryiCommon Names: Congdon's Tarweed,Annual herb,2.3 ft tall,,"9.9"" - 68.8""","0.17"" - 1.41""",Full Sun,,," 33.6"" - 56.5"""," 59.8"" - 79.4""",,"0.51"" - 25.26""","-3"" - 4188""",Bee Gardens,,,338,https://static.inaturalist.org/photos/225691/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Centromadia-parryi-(Parry-Spikeweed)?srchcr=sc61ab02a7440fe"
Epilobium ciliatum ssp. ciliatum,Common Names: Northern Willow-herb,Perennial herb,6 ft tall,,"4.1"" - 158.0""","0.14"" - 5.78""",Full Sun,,," 24.2"" - 56.5"""," 46.3"" - 87.2""",,"0.01"" - 38.66""","-75"" - 11501""","Bird Gardens, Hummingbird Gardens","Pink,  White,  Purple",,9846,https://inaturalist-open-data.s3.amazonaws.com/photos/1235663/small.,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Epilobium-ciliatum-ssp.-ciliatum-(Fringed-Willowherb)?srchcr=sc61ab02a7440fe"
Spergularia macrotheca,Common Names: Sticky Sandspurry,Perennial herb,,,"6.2"" - 65.0""","0.13"" - 1.83""",Full Sun,,," 23.9"" - 57.5"""," 46.5"" - 80.9""",,"0.01"" - 29.77""","-1512"" - 10742""",,"Pink,  White,  Lavender,  Red,  Brown",,846,https://inaturalist-open-data.s3.amazonaws.com/photos/15782/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Spergularia-macrotheca-(Large-Flowered-Sand-Spurry)?srchcr=sc61ab02a7440fe"
Stephanomeria virgata,"Common Names: Rod Wirelettuce, Tall Stephanomeria",Annual herb,1.9 - 11.8 in tall,,"6.4"" - 67.9""","0.15"" - 2.94""",Full Sun,,," 25.4"" - 56.9"""," 55.2"" - 83.7""",,"0.01"" - 35.21""","1"" - 8798""",,,,973,https://inaturalist-open-data.s3.amazonaws.com/photos/11679/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Stephanomeria-virgata-(Virgate-Stephanomeria)?srchcr=sc61ab02a7440fe"
Amorpha californica var. californica,,Shrub,,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","6.0"" - 68.0""","0.15"" - 2.79""","Full Sun,  Part Shade",,," 32.5"" - 58.2"""," 59.2"" - 86.9""",,"0.43"" - 37.48""","26"" - 7643""",,Purple,,598,https://inaturalist-open-data.s3.amazonaws.com/photos/18747/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Amorpha-californica-var.-californica-(California-False-Indigo)?srchcr=sc61ab02a7440fe"
Bromus carinatus var. carinatus,Common Names: California Brome,Grasses,5 ft tall,,"2.7"" - 129.6""","0.15"" - 3.95""","Full Sun,  Part Shade",,," 10.8"" - 58.7"""," 34.1"" - 88.4""",,"0.01"" - 39.29""","-113"" - 14090""",,Brown,,1001,https://inaturalist-open-data.s3.amazonaws.com/photos/11796/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Bromus-carinatus-var.-carinatus-(Mountain-Brome)?srchcr=sc61ab02a7440fe"
Phacelia cicutaria var. hispida,,Annual herb,0.6 - 2 ft tall,,"3.5"" - 43.7""","0.14"" - 2.42""","Full Sun,  Part Shade",,," 31.7"" - 58.8"""," 60.5"" - 87.8""",,"0.84"" - 38.88""","-32"" - 6838""","Butterfly Gardens, Bee Gardens","White,  Lavender",,3598,https://inaturalist-open-data.s3.amazonaws.com/photos/31426/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Phacelia-cicutaria-var.-hispida-(Caterpillar-Phacelia)?srchcr=sc61ab02a7440fe"
Isocoma menziesii var. menziesii,,Shrub,7 ft tall,,"8.1"" - 25.7""","0.15"" - 1.41""",Full Sun,,," 39.6"" - 56.9"""," 63.0"" - 80.1""",,"0.85"" - 28.78""","-3"" - 3874""",Bee Gardens,Yellow,,6958,https://inaturalist-open-data.s3.amazonaws.com/photos/53759750/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Isocoma-menziesii-var.-menziesii-(Menzies\'-Goldenbush)?srchcr=sc61ab02a7440fe"
Claytonia perfoliata ssp. mexicana,,Annual herb,1.3 ft tall,"['USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)']","5.8"" - 57.0""","0.15"" - 3.00""",Shade,,," 30.6"" - 57.4"""," 60.2"" - 80.2""",,"0.01"" - 29.39""","0"" - 7863""",,,,15716,https://inaturalist-open-data.s3.amazonaws.com/photos/12032138/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Claytonia-perfoliata-ssp.-mexicana-(Southern-Miner\'s-Lettuce)?srchcr=sc61ab02a7440fe"
Mucronea californica,,Annual herb,0.1 - 1.6 ft tall,,"5.1"" - 34.9""","0.18"" - 2.53""",Full Sun,,," 34.6"" - 57.7"""," 62.6"" - 80.2""",,"0.74"" - 34.61""","-3814"" - 6013""",,,,55,https://static.inaturalist.org/photos/12552099/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Mucronea-californica-(California-Spineflower)?srchcr=sc61ab02a7440fe"
Delphinium parryi ssp. parryi,Common Names: San Bernardino Larkspur,Perennial herb,0.5 - 3.5 ft tall.25 ft wide,,"5.6"" - 49.7""","0.13"" - 3.07""","Full Sun, Part Shade",,," 34.9"" - 57.6"""," 60.7"" - 86.2""",,"0.41"" - 37.09""","0"" - 7115""","Hummingbird Gardens, Bee Gardens","Blue,  Purple",Moderately Easy,886,https://static.inaturalist.org/photos/33011489/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Delphinium-parryi-ssp.-parryi-(Parry\'s-Larkspur)?srchcr=sc61ab02a7440fe"
Centromadia pungens,"Botanical Names: Hemizonia pungens,Hemizonia pungens;Hemizonia pungensCommon Names: Common Tarweed",Annual herb,4 ft tall,,"4.3"" - 58.5""","0.14"" - 1.46""",Full Sun,,," 28.0"" - 56.1"""," 59.4"" - 87.4""",,"0.49"" - 38.67""","-33"" - 5841""",Bee Gardens,Yellow,,472,https://inaturalist-open-data.s3.amazonaws.com/photos/93196/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Centromadia-pungens-(Common-Spikeweed)?srchcr=sc61ab02a7440fe"
Plantago elongata,"Botanical Names: Plantago bigelovii,Plantago elongata ssp. pentaspermaCommon Names: Longleaf Plantain, Prairie Plantain, Slender Plantain",Annual herb,7.1 in tall,,"6.4"" - 61.0""","0.14"" - 1.89""",Full Sun,,," 43.0"" - 55.7"""," 58.9"" - 80.9""",,"0.12"" - 29.19""","0"" - 4211""",,,,129,https://inaturalist-open-data.s3.amazonaws.com/photos/202946/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Plantago-elongata-(Coast-Plantain)?srchcr=sc61ab02a7440fe"
Uropappus lindleyi,"Common Names: Silver Puffs, Silverpuffs",Annual herb,2.3 ft tall,,"3.5"" - 73.6""","0.14"" - 2.97""",Full Sun,,," 32.3"" - 59.8"""," 59.1"" - 87.2""",,"0.47"" - 39.91""","0"" - 8079""",,,,3017,https://inaturalist-open-data.s3.amazonaws.com/photos/7015916/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Uropappus-lindleyi-(Uropappus)?srchcr=sc61ab02a7440fe"
Malacothamnus fasciculatus var. fasciculatus,Common Names: Mendocino Bushmallow,Shrub,3.3 - 2.3 ft tall,,"9.7"" - 45.3""","0.18"" - 2.83""","Full Sun,  Part Shade",,," 38.1"" - 56.0"""," 59.5"" - 80.8""",,"0.82"" - 29.74""","24"" - 8715""",Hummingbird Gardens,Pink,,4438,https://static.inaturalist.org/photos/19155029/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Malacothamnus-fasciculatus-var.-fasciculatus-(Chaparral-Bush-Mallow)?srchcr=sc61ab02a7440fe"
Descurainia pinnata,"Common Names: Green Tansymustard, Menzies' Tansymustard, Pinnate Tansy Mustard, Pinnate Tansymustard",Annual herb,,,"2.7"" - 120.8""","0.14"" - 4.10""",,,," 24.2"" - 62.2"""," 46.3"" - 89.1""",,"0.59"" - 42.79""","-136"" - 10329""",Butterfly Gardens,Yellow,,2029,https://inaturalist-open-data.s3.amazonaws.com/photos/3038283/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Descurainia-pinnata-(Western-Tansymustard)?srchcr=sc61ab02a7440fe"
Galium aparine,"Common Names: Catchweed Bedstraw, Cleaverwort, Clivers, Goose Grass, Goosegrass, Scarthgrass, Stickywilly",Annual herb,10.8 in tall,,"6.7"" - 117.5""","0.14"" - 3.95""",,,Prefers loamy or clay soils.  Grows poorly in sandy soils.," 10.8"" - 57.4"""," 34.1"" - 81.0""",,"0.21"" - 30.99""","-22"" - 14090""",,Green,,37944,https://static.inaturalist.org/photos/79984095/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Galium-aparine-(Common-Bedstrawm-Cleavers)?srchcr=sc61ab02a7440fe"
Gnaphalium palustre,"Common Names: Lowland Cudweed, Marsh Everlasting",Annual herb,11.8 in tall,,"4.4"" - 151.6""","0.14"" - 5.67""",,,," 19.1"" - 60.0"""," 42.0"" - 87.6""",,"0.04"" - 40.42""","-4"" - 12721""",,Brown,,626,https://inaturalist-open-data.s3.amazonaws.com/photos/8082065/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Gnaphalium-palustre-(Western-Marsh-Cudweed)?srchcr=sc61ab02a7440fe"
Lasthenia gracilis,"Common Names: California Goldfields, Needle Goldfields, Valley Goldfields",Annual herb,,,"3.2"" - 94.6""","0.14"" - 2.65""",,,," 24.6"" - 59.5"""," 45.5"" - 88.0""",,"0.47"" - 38.85""","-130"" - 11310""",,Yellow,,1737,https://inaturalist-open-data.s3.amazonaws.com/photos/266552/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lasthenia-gracilis-(Common-Goldfields)?srchcr=sc61ab02a7440fe"
Lepidium virginicum,Common Names: Virginia Pepperweed,Annual herb,0.33 - 1.6 ft tall,,"4.3"" - 91.6""","0.14"" - 3.19""",,,," 20.9"" - 59.4"""," 49.4"" - 87.4""",,"0.29"" - 39.81""","4"" - 9851""",,"White,  Green",,8846,https://inaturalist-open-data.s3.amazonaws.com/photos/62402359/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lepidium-virginicum-(Least-Pepperweed)?srchcr=sc61ab02aa11143"
Lepidium lasiocarpum,Common Names: Hairypod Pepperweed,Annual herb,,,"2.5"" - 81.8""","0.16"" - 2.95""",,,," 32.0"" - 63.4"""," 59.7"" - 89.3""",,"0.80"" - 46.45""","-198"" - 8177""",,,,953,https://inaturalist-open-data.s3.amazonaws.com/photos/272682/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lepidium-lasiocarpum-(Shaggyfruit-Pepperweed)?srchcr=sc61ab02aa11143"
Stephanomeria exigua,Common Names: Wire Lettuce,Annual herb,,,"3.0"" - 60.0""","0.14"" - 2.90""",,,," 25.3"" - 60.6"""," 49.6"" - 88.8""",,"0.39"" - 40.82""","-82"" - 9530""",,,,1348,https://inaturalist-open-data.s3.amazonaws.com/photos/47337098/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Stephanomeria-exigua-(Small-Wirelettuce)?srchcr=sc61ab02aa11143"
Caulanthus lasiophyllus,"Common Names: Coast Wild Cabbage, Hairyleaf Wildcabbage",Annual herb,,,"2.6"" - 52.9""","0.13"" - 2.67""",,,," 35.2"" - 63.0"""," 58.6"" - 89.2""",,"0.75"" - 42.79""","-166"" - 5599""",,"White,  Green",,833,https://static.inaturalist.org/photos/1082968/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Caulanthus-lasiophyllus-(California-Mustard)?srchcr=sc61ab02aa11143"
Stachys rigida,Common Names: Rigid Hedgenettle,Perennial herb,2 - 3.3 ft tall,,"4.8"" - 158.0""","0.16"" - 5.80""",,,," 28.0"" - 58.8"""," 47.3"" - 87.5""",,"0.01"" - 38.31""","-23"" - 8910""","Hummingbird Gardens, Bird Gardens, Bee Gardens",,,1778,https://inaturalist-open-data.s3.amazonaws.com/photos/81898704/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Stachys-rigida-(Rough-Hedgenettle)?srchcr=sc61ab02aa11143"
Trifolium depauperatum,"Common Names: Balloon Sack Clover, Poverty Clover",Annual herb,,,"7.0"" - 117.4""","0.14"" - 3.43""",,,," 31.9"" - 57.3"""," 57.2"" - 81.0""",,"0.44"" - 29.36""","-293"" - 6588""",,"Pink,  White,  Purple",,1103,https://inaturalist-open-data.s3.amazonaws.com/photos/6102146/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Trifolium-depauperatum-(Cowbag-Clover)?srchcr=sc61ab02aa11143"
Chaenactis glabriuscula var. glabriuscula,Common Names: Common Yellow Chaenactis,Annual herb,,,"4.8"" - 66.5""","0.13"" - 2.95""",,,," 24.6"" - 58.9"""," 45.5"" - 87.5""",,"0.73"" - 38.44""","2"" - 11310""",,,,1646,https://inaturalist-open-data.s3.amazonaws.com/photos/13336/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Chaenactis-glabriuscula-var.-glabriuscula-(Yellow-Pincushion)?srchcr=sc61ab02aa11143"
Astragalus didymocarpus,Common Names: Two-seeded Milkvetch,Annual herb,1 - 11.8 in tall,,"3.0"" - 51.2""","0.13"" - 2.54""",,,," 38.5"" - 60.2"""," 61.8"" - 89.3""",,"0.80"" - 40.70""","-247"" - 5258""",,"Yellow,  White,  Purple",,159,https://inaturalist-open-data.s3.amazonaws.com/photos/8059982/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Astragalus-didymocarpus-(Dwarf-White-Milkvetch)?srchcr=sc61ab02aa11143"
Erigeron foliosus var. foliosus,Common Names: Thread-stemmed Fleabane,"Perennial Herb, Shrub",,,"5.6"" - 104.0""","0.14"" - 3.55""",,,," 24.3"" - 57.6"""," 49.7"" - 86.2""",,"0.68"" - 37.09""","7"" - 9879""",Bee Gardens,"White,  Lavender,  Yellow",,2003,https://inaturalist-open-data.s3.amazonaws.com/photos/16760/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Erigeron-foliosus-var.-foliosus-(Leafy-Fleabane)?srchcr=sc61ab02aa11143"
Camissonia strigulosa,Common Names: Sandy-soil Suncup,Annual herb,1.6 ft tall,,"3.6"" - 56.5""","0.14"" - 2.95""",,,," 33.0"" - 56.8"""," 58.2"" - 87.2""",,"0.40"" - 38.27""","-245"" - 6798""",,"Yellow,  Red",,384,https://inaturalist-open-data.s3.amazonaws.com/photos/12735/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Camissonia-strigulosa-(Sandysoil-Suncup)?srchcr=sc61ab02aa11143"
Pectocarya linearis,,Annual herb,,,"2.2"" - 32.5""","0.14"" - 2.15""",,,," 39.6"" - 60.6"""," 63.0"" - 90.2""",,"1.06"" - 48.19""","-214"" - 5690""",,,,452,https://inaturalist-open-data.s3.amazonaws.com/photos/12577192/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Pectocarya-linearis-(Sagebrush-Combseed)?srchcr=sc61ab02aa11143"
Microseris douglasii,Common Names: Douglas' Microseris,Annual Herb,1.9 in tall,,"5.9"" - 84.2""","0.14"" - 1.63""",,,," 33.7"" - 57.2"""," 53.1"" - 80.9""",,"0.09"" - 29.28""","3"" - 7676""",,,,192,https://inaturalist-open-data.s3.amazonaws.com/photos/7974648/small.jpeg?1544161254,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Microseris-douglasii-(Douglas\'-Silverpuffs)?srchcr=sc61ab02aa11143"
Cirsium occidentale var. californicum,"Common Names: Bigelow Thistle, Cobwebby Thistle",Perennial herb,,,"4.0"" - 80.7""","0.14"" - 3.14""",,,," 29.5"" - 57.2"""," 52.0"" - 84.5""",,"0.74"" - 36.04""","-30"" - 8771""",Butterfly Gardens,"Pink,  Purple",,5436,https://inaturalist-open-data.s3.amazonaws.com/photos/19374571/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Cirsium-occidentale-var.-californicum-(California-Thistle)?srchcr=sc61ab02aa11143"
Panicum capillare,Common Names: Witchgrass,Grasses,3.3 ft tall,,"3.0"" - 118.6""","0.14"" - 4.06""",,,," 26.0"" - 60.2"""," 48.9"" - 88.4""",,"0.20"" - 42.31""","3"" - 10191""",,Brown,,2242,https://inaturalist-open-data.s3.amazonaws.com/photos/1150604/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Panicum-capillare-(Witch-Grass)?srchcr=sc61ab02aa11143"
Veronica peregrina,"Common Names: American Speedwell, Purslane Speedwell",Annual herb,11.8 in tall,,"4.8"" - 114.0""","0.13"" - 3.40""",,,," 22.0"" - 56.1"""," 45.9"" - 85.3""",,"0.17"" - 35.31""","2"" - 10326""",,,,2413,https://static.inaturalist.org/photos/24848570/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Veronica-peregrina-(Neckweed)?srchcr=sc61ab02aa11143"
Isocoma menziesii var. vernonioides,,Shrub,,,"7.2"" - 46.5""","0.14"" - 1.65""",,,," 37.7"" - 57.3"""," 61.2"" - 83.4""",,"0.68"" - 34.96""","-30"" - 5181""",Bee Gardens,Yellow,,6958,https://inaturalist-open-data.s3.amazonaws.com/photos/53759750/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Isocoma-menziesii-var.-vernonioides-(Green-leaved-Dune-Goldenbush)?srchcr=sc61ab02aa11143"
Urtica dioica,"Common Names: California Nettle, Slender Nettle, Stinging Nettle, Tall Nettle",Perennial herb,,,"5.6"" - 76.8""","0.13"" - 4.22""",,,," 22.9"" - 56.3"""," 46.3"" - 80.9""",,"0.05"" - 29.78""","-1"" - 10600""",Butterfly Gardens,,,57374,https://inaturalist-open-data.s3.amazonaws.com/photos/31199444/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Urtica-dioica-(Common-Nettle)?srchcr=sc61ab02aa11143"
Veronica peregrina ssp. xalapensis,"Common Names: Hairy Purslane Speedwell, Neckweed",Annual herb,,,"4.8"" - 114.0""","0.13"" - 3.40""",,,," 22.0"" - 56.1"""," 45.9"" - 85.3""",,"0.17"" - 35.31""","2"" - 10326""",,,,2413,https://static.inaturalist.org/photos/24848570/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Veronica-peregrina-ssp.-xalapensis-(Purslane-Speedwell)?srchcr=sc61ab02aa11143"
Eucrypta chrysanthemifolia var. chrysanthemifolia,,Annual herb,3 ft tall,,"6.4"" - 48.0""","0.15"" - 2.45""",,,," 33.5"" - 56.4"""," 61.0"" - 84.2""",,"0.66"" - 34.96""","-43"" - 7419""",,"Lavender,  White",,1738,https://static.inaturalist.org/photos/89544763/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eucrypta-chrysanthemifolia-var.-chrysanthemifolia-(Spotted-Hideseed)?srchcr=sc61ab02aa11143"
Tropidocarpum gracile,"Common Names: Slender Keel Fruit, Slender Tropidocarpum",Annual herb,0.33 - 1.6 ft tall,,"2.9"" - 59.6""","0.14"" - 2.31""",,,," 32.5"" - 59.5"""," 58.8"" - 88.4""",,"0.40"" - 39.45""","7"" - 6351""",,"Yellow,  Purple",,344,https://inaturalist-open-data.s3.amazonaws.com/photos/19926/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Tropidocarpum-gracile-(Dobie-Pod)?srchcr=sc61ab02aa11143"
Xanthium strumarium,"Common Names: Common Cocklebur, Rough Cockleburr",Annual herb,,,"2.5"" - 70.1""","0.15"" - 2.56""",,,," 32.4"" - 59.8"""," 59.3"" - 89.4""",,"0.04"" - 40.75""","-195"" - 5647""",,,,17334,https://static.inaturalist.org/photos/2046930/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Xanthium-strumarium-(Cocklebur)?srchcr=sc61ab02aa11143"
Urtica dioica ssp. holosericea,"Common Names: Hoary Stinging Nettle, Slim Nettle",Perennial herb,,,"5.6"" - 71.3""","0.13"" - 4.22""",,,," 22.9"" - 56.3"""," 46.3"" - 80.9""",,"0.39"" - 29.78""","-1"" - 10600""",Butterfly Gardens,,,57374,https://inaturalist-open-data.s3.amazonaws.com/photos/31199444/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Urtica-dioica-ssp.-holosericea-(Hoary-Nettle)?srchcr=sc61ab02aa11143"
Cordylanthus rigidus ssp. setiger,,Annual herb,,,"6.5"" - 48.0""","0.15"" - 2.95""",,,," 33.1"" - 56.0"""," 60.2"" - 82.0""",,"1.22"" - 32.72""","24"" - 7635""",,,,1189,https://inaturalist-open-data.s3.amazonaws.com/photos/13044/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Cordylanthus-rigidus-ssp.-setiger-()?srchcr=sc61ab02aa11143"
Psilocarphus brevissimus,"Common Names: Woolly Heads, Woolly Marbles",Annual herb,1.2 in tall,,"6.6"" - 122.2""","0.15"" - 3.67""",,,," 27.7"" - 56.1"""," 56.8"" - 80.9""",,"0.39"" - 29.29""","4"" - 7635""",,,,392,https://inaturalist-open-data.s3.amazonaws.com/photos/15093904/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Psilocarphus-brevissimus-(Short-Woollyheads)?srchcr=sc61ab02aa11143"
Castilleja minor ssp. spiralis,Common Names: Lesser Indian Paintbrush,Annual Herb,,,"4.9"" - 59.6""","0.14"" - 2.84""",,,," 24.5"" - 58.8"""," 54.9"" - 87.5""",,"0.82"" - 38.31""","5"" - 8356""",,Red,,708,https://inaturalist-open-data.s3.amazonaws.com/photos/171756/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Castilleja-minor-ssp.-spiralis-(Annual-Indian-Paintbrush)?srchcr=sc61ab02aa11143"
Amaranthus blitoides,Common Names: Mat Amaranth,Annual herb,,,"2.7"" - 93.0""","0.15"" - 3.49""",,,," 26.6"" - 59.1"""," 51.0"" - 88.9""",,"0.41"" - 39.57""","-81"" - 8250""",,,,1036,https://static.inaturalist.org/photos/2479833/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Amaranthus-blitoides-(Procumbent-Pigweed)?srchcr=sc61ab02aa11143"
Cirsium occidentale var. occidentale,,Perennial herb,,,"8.1"" - 66.1""","0.14"" - 2.37""",,,," 39.2"" - 57.4"""," 58.2"" - 80.5""",,"0.36"" - 29.07""","2"" - 7442""",,"Pink,  Purple",,5436,https://inaturalist-open-data.s3.amazonaws.com/photos/19374571/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Cirsium-occidentale-var.-occidentale-(Cobwebby-Thistle)?srchcr=sc61ab02aa11143"
Chorizanthe parryi,Common Names: San Bernardino Spineflower,Annual herb,0.8 - 5.9 in tall,,"7.2"" - 37.3""","0.18"" - 1.52""",,,," 45.4"" - 56.7"""," 66.8"" - 83.3""",,"2.18"" - 34.20""","7"" - 5568""",,White,,18,https://inaturalist-open-data.s3.amazonaws.com/photos/6406657/small.jpeg?1544149572,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Chorizanthe-parryi-(Parry\'s-Spineflower)?srchcr=sc61ab02aa11143"
Eriodictyon crassifolium var. nigrescens,Common Names: Thickleaf Yerba Santa,Shrub,3.3 - 9.8 ft tall,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","7.6"" - 45.3""","0.14"" - 2.63""",,,," 34.2"" - 56.1"""," 55.2"" - 80.3""",,"0.82"" - 29.99""","-52"" - 8863""",Butterfly Gardens,,,4149,https://static.inaturalist.org/photos/2051298/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eriodictyon-crassifolium-var.-nigrescens-(Bicolored-Yerba-Santa)?srchcr=sc61ab02aa11143"
Euphorbia serpyllifolia,"Common Names: Thyme-leaf Sandmat, Thyme-leafed Spurge","Annual herb, Succulent",3.3 ft tall,,"3.6"" - 77.3""","0.19"" - 2.75""",,,," 29.0"" - 59.8"""," 52.5"" - 87.7""",,"0.90"" - 39.49""","13"" - 8036""",,White,,799,https://inaturalist-open-data.s3.amazonaws.com/photos/84595292/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Euphorbia-serpyllifolia-(Thymeleaf-Sandmat)?srchcr=sc61ab02aa11143"
Crassula aquatica,"Common Names: Common Pigmyweed, Common Pygmyweed, Just Pigmyweed","Annual herb, Succulent",,,"9.2"" - 79.4""","0.17"" - 2.73""",,,," 22.2"" - 56.1"""," 40.8"" - 80.9""",,"0.19"" - 29.27""","0"" - 11840""",,"Yellow,  Purple,  Red",,117,https://inaturalist-open-data.s3.amazonaws.com/photos/13329/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Crassula-aquatica-(Water-Pygmyweed)?srchcr=sc61ab02aa11143"
Ericameria palmeri var. pachylepis,Common Names: Palmer's Rabbitbrush,Shrub,,,"7.2"" - 33.1""","0.14"" - 2.45""",,,," 33.5"" - 57.0"""," 61.0"" - 82.8""",,"0.70"" - 33.55""","26"" - 7419""",,Yellow,,341,https://inaturalist-open-data.s3.amazonaws.com/photos/2101043/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ericameria-palmeri-var.-pachylepis-(Thickbracted-Goldenbush)?srchcr=sc61ab02aa11143"
